End Date,End Time,PM10,Status/units,Period
01/07/2018,02:00:00,20.5,R ugm-3 (VCM),01/07/2018 02:00
01/07/2018,03:00:00,16,R ugm-3 (VCM),01/07/2018 03:00
01/07/2018,04:00:00,23.4,R ugm-3 (VCM),01/07/2018 04:00
01/07/2018,05:00:00,21.1,R ugm-3 (VCM),01/07/2018 05:00
01/07/2018,06:00:00,17,R ugm-3 (VCM),01/07/2018 06:00
01/07/2018,07:00:00,18.9,R ugm-3 (VCM),01/07/2018 07:00
01/07/2018,08:00:00,21.9,R ugm-3 (VCM),01/07/2018 08:00
01/07/2018,09:00:00,27.6,R ugm-3 (VCM),01/07/2018 09:00
01/07/2018,10:00:00,23.5,R ugm-3 (VCM),01/07/2018 10:00
01/07/2018,11:00:00,24.8,R ugm-3 (VCM),01/07/2018 11:00
01/07/2018,12:00:00,24.8,R ugm-3 (VCM),01/07/2018 12:00
01/07/2018,13:00:00,25,R ugm-3 (VCM),01/07/2018 13:00
01/07/2018,14:00:00,28.6,R ugm-3 (VCM),01/07/2018 14:00
01/07/2018,15:00:00,27.7,R ugm-3 (VCM),01/07/2018 15:00
01/07/2018,16:00:00,31.8,R ugm-3 (VCM),01/07/2018 16:00
01/07/2018,17:00:00,32,R ugm-3 (VCM),01/07/2018 17:00
01/07/2018,18:00:00,31.1,R ugm-3 (VCM),01/07/2018 18:00
01/07/2018,19:00:00,28.9,R ugm-3 (VCM),01/07/2018 19:00
01/07/2018,20:00:00,32.9,R ugm-3 (VCM),01/07/2018 20:00
01/07/2018,21:00:00,28.1,R ugm-3 (VCM),01/07/2018 21:00
01/07/2018,22:00:00,25.1,R ugm-3 (VCM),01/07/2018 22:00
01/07/2018,23:00:00,25.1,R ugm-3 (VCM),01/07/2018 23:00
01/07/2018,24:00:00,23.9,R ugm-3 (VCM),02/07/2018 00:00
02/07/2018,01:00:00,20.1,R ugm-3 (VCM),02/07/2018 01:00
02/07/2018,02:00:00,19.2,R ugm-3 (VCM),02/07/2018 02:00
02/07/2018,03:00:00,21.9,R ugm-3 (VCM),02/07/2018 03:00
02/07/2018,04:00:00,21.5,R ugm-3 (VCM),02/07/2018 04:00
02/07/2018,05:00:00,21.6,R ugm-3 (VCM),02/07/2018 05:00
02/07/2018,06:00:00,25.2,R ugm-3 (VCM),02/07/2018 06:00
02/07/2018,07:00:00,25.5,R ugm-3 (VCM),02/07/2018 07:00
02/07/2018,08:00:00,23.8,R ugm-3 (VCM),02/07/2018 08:00
02/07/2018,09:00:00,26.5,R ugm-3 (VCM),02/07/2018 09:00
02/07/2018,10:00:00,22.3,R ugm-3 (VCM),02/07/2018 10:00
02/07/2018,11:00:00,29.9,R ugm-3 (VCM),02/07/2018 11:00
02/07/2018,12:00:00,33,R ugm-3 (VCM),02/07/2018 12:00
